"id","code","name","parent_id/id","type","user_type/id","reconcile"
"l10n_tn.pcg_4196","4196","Clients - dettes pour emballages et matériel consignés","l10n_tn.pcg_419","Regular","account.data_account_type_asset","True"
"l10n_tn.pcg_4197","4197","Clients - autres avoirs","l10n_tn.pcg_419","Regular","account.data_account_type_asset","True"
"l10n_tn.pcg_4198","4198","Rabais remises ristournes à accorder et autres avoirs à établir","l10n_tn.pcg_419","Regular","account.data_account_type_asset","True"
"l10n_tn.pcg_42","42","Personnel et comptes rattachés","l10n_tn.pcg_4","view","account.data_account_type_view","False"
"l10n_tn.pcg_421","421","Personnel - avances et acomptes","l10n_tn.pcg_42","Receivable","account.data_account_type_receivable","True"
"l10n_tn.pcg_422","422","Comités d'entreprises et autres organes représentatifs du personnel","l10n_tn.pcg_42","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_425","425","Personnel - rémunérations dues","l10n_tn.pcg_42","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_426","426","Personnel - dépôts","l10n_tn.pcg_42","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_427","427","Personnel - oppositions","l10n_tn.pcg_42","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_428","428","Personnel - charges à payer & produits à recevoir","l10n_tn.pcg_42","view","account.data_account_type_view","True"
"l10n_tn.pcg_4282","4282","Dettes provisionnées pour congés à payer","l10n_tn.pcg_428","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_4286","4286","Autres charges à payer","l10n_tn.pcg_428","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_4287","4287","Produits à recevoir","l10n_tn.pcg_428","Receivable","account.data_account_type_receivable","True"
"l10n_tn.pcg_43","43","Etat et collectivités publiques","l10n_tn.pcg_4","view","account.data_account_type_view","False"
"l10n_tn.pcg_431","431","Etat - subventions à recevoir","l10n_tn.pcg_43","Receivable","account.data_account_type_receivable","True"
"l10n_tn.pcg_432","432","Etat impôts et taxes retenus à la source","l10n_tn.pcg_43","Receivable","account.data_account_type_receivable","True"
"l10n_tn.pcg_433","433","Opérations particulières avec l'Etat les collectivités publiques les organismes internationaux","l10n_tn.pcg_43","view","account.data_account_type_view","False"
"l10n_tn.pcg_434","434","Etat - impôts sur les bénéfices","l10n_tn.pcg_43","view","account.data_account_type_view","False"
"l10n_tn.pcg_4341","4341","Retenue à la source","l10n_tn.pcg_434","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_4342","4342","Acomptes provisionnels","l10n_tn.pcg_434","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_4343","4343","Impôt à liquider","l10n_tn.pcg_434","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_4349","4349","Impôts différés","l10n_tn.pcg_434","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_435","435","Obligations cautionnées","l10n_tn.pcg_43","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_436","436","Etat - taxes sur le chiffre d'affaires","l10n_tn.pcg_43","view","account.data_account_type_view","True"
"l10n_tn.pcg_4365","4365","Taxes sur le chiffre d'affaires à décaisser","l10n_tn.pcg_436","view","account.data_account_type_view","True"
"l10n_tn.pcg_43651","43651","TVA à payer","l10n_tn.pcg_4365","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_43658","43658","Autres taxes sur le chiffre d'affaires","l10n_tn.pcg_4365","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_4366","4366","Taxes sur le chiffre d'affaires déductibles","l10n_tn.pcg_436","view","account.data_account_type_view","False"
"l10n_tn.pcg_43662","43662","TVA sur immobilisations","l10n_tn.pcg_4366","Regular","account.data_account_type_asset","False"
"l10n_tn.pcg_43663","43663","TVA transférée par d'autres entreprises","l10n_tn.pcg_4366","Regular","account.data_account_type_asset","True"
"l10n_tn.pcg_43666","43666","TVA sur autres biens et services","l10n_tn.pcg_4366","Regular","account.data_account_type_asset","True"
"l10n_tn.pcg_43667","43667","Crédit de TVA à reporter","l10n_tn.pcg_4366","Regular","account.data_account_type_asset","True"
"l10n_tn.pcg_43668","43668","Autres taxes sur le chiffre d'affaires","l10n_tn.pcg_4366","Regular","account.data_account_type_asset","True"
"l10n_tn.pcg_4367","4367","Taxes sur le chiffre d'affaires collectées par l'entreprise","l10n_tn.pcg_436","view","account.data_account_type_view","False"
"l10n_tn.pcg_43671","43671","TVA collectée","l10n_tn.pcg_4367","view","account.data_account_type_view","True"
"l10n_tn.pcg_436711","436711","TVA collectée sur les débits","l10n_tn.pcg_43671","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_436712","436712","TVA collectée sur les encaissements","l10n_tn.pcg_43671","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_43678","43678","Autres taxes sur le chiffre d'affaires","l10n_tn.pcg_4367","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_4368","4368","Taxes sur le chiffre d'affaires à régulariser ou en attente","l10n_tn.pcg_436","view","account.data_account_type_view","False"
"l10n_tn.pcg_43681","43681","Acomptes - Régime simplifié d'imposition","l10n_tn.pcg_4368","Regular","account.data_account_type_asset","True"
"l10n_tn.pcg_43682","43682","Acomptes - Régime du forfait","l10n_tn.pcg_4368","Regular","account.data_account_type_asset","True"
"l10n_tn.pcg_43683","43683","Remboursement de taxes sur le chiffre d'affaires demandé","l10n_tn.pcg_4368","Regular","account.data_account_type_asset","True"
"l10n_tn.pcg_437","437","Autres impôts taxes et versements assimilés","l10n_tn.pcg_43","view","account.data_account_type_view","False"
"l10n_tn.pcg_4375","4375","droit de timbre collecté","l10n_tn.pcg_437","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_438","438","Etat - charges à payer et produits à recevoir","l10n_tn.pcg_43","view","account.data_account_type_view","False"
